sensor_id,zone,type,reading,unit,state,assessment,timestamp
KAGGLE-00023-M,Kaggle- rice       -23,MOISTURE,0.139,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00024-M,Kaggle- rice       -24,MOISTURE,0.151,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00023-P,Kaggle- rice       -23,PH,6.01,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00024-T,Kaggle- rice       -24,TEMPERATURE,21.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00025-M,Kaggle- rice       -25,MOISTURE,0.217,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00024-P,Kaggle- rice       -24,PH,6.25,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00025-T,Kaggle- rice       -25,TEMPERATURE,23.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00023-T,Kaggle- rice       -23,TEMPERATURE,21.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00026-M,Kaggle- rice       -26,MOISTURE,0.137,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00027-P,Kaggle- rice       -27,PH,6.29,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00026-P,Kaggle- rice       -26,PH,7.78,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00026-T,Kaggle- rice       -26,TEMPERATURE,25.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00027-T,Kaggle- rice       -27,TEMPERATURE,26.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00027-M,Kaggle- rice       -27,MOISTURE,0.255,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00028-M,Kaggle- rice       -28,MOISTURE,0.169,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00025-P,Kaggle- rice       -25,PH,7.38,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00028-P,Kaggle- rice       -28,PH,7.07,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00028-T,Kaggle- rice       -28,TEMPERATURE,24.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00029-T,Kaggle- rice       -29,TEMPERATURE,20.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00029-M,Kaggle- rice       -29,MOISTURE,0.141,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00030-M,Kaggle- rice       -30,MOISTURE,0.124,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00029-P,Kaggle- rice       -29,PH,6.24,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00031-M,Kaggle- rice       -31,MOISTURE,0.24,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00030-P,Kaggle- rice       -30,PH,6.04,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00030-T,Kaggle- rice       -30,TEMPERATURE,22.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00031-T,Kaggle- rice       -31,TEMPERATURE,21.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00031-P,Kaggle- rice       -31,PH,5.82,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00032-M,Kaggle- rice       -32,MOISTURE,0.118,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00033-M,Kaggle- rice       -33,MOISTURE,0.186,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00032-P,Kaggle- rice       -32,PH,6.36,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00032-T,Kaggle- rice       -32,TEMPERATURE,22.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00033-P,Kaggle- rice       -33,PH,6.36,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00033-T,Kaggle- rice       -33,TEMPERATURE,24.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00034-P,Kaggle- rice       -34,PH,5.01,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00034-T,Kaggle- rice       -34,TEMPERATURE,20.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00034-M,Kaggle- rice       -34,MOISTURE,0.122,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00035-M,Kaggle- rice       -35,MOISTURE,0.233,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00035-P,Kaggle- rice       -35,PH,6.15,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00035-T,Kaggle- rice       -35,TEMPERATURE,25.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00036-P,Kaggle- rice       -36,PH,5.95,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00036-T,Kaggle- rice       -36,TEMPERATURE,26.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00036-M,Kaggle- rice       -36,MOISTURE,0.24,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00037-P,Kaggle- rice       -37,PH,5.96,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00037-T,Kaggle- rice       -37,TEMPERATURE,26.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00037-M,Kaggle- rice       -37,MOISTURE,0.205,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00039-M,Kaggle- rice       -39,MOISTURE,0.195,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00038-P,Kaggle- rice       -38,PH,5.56,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00038-T,Kaggle- rice       -38,TEMPERATURE,23.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00038-M,Kaggle- rice       -38,MOISTURE,0.182,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00039-T,Kaggle- rice       -39,TEMPERATURE,21.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00040-T,Kaggle- rice       -40,TEMPERATURE,24.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00040-M,Kaggle- rice       -40,MOISTURE,0.105,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00039-P,Kaggle- rice       -39,PH,7.42,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00040-P,Kaggle- rice       -40,PH,5.58,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00042-M,Kaggle- rice       -42,MOISTURE,0.172,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00041-P,Kaggle- rice       -41,PH,6.43,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00043-M,Kaggle- rice       -43,MOISTURE,0.235,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00041-M,Kaggle- rice       -41,MOISTURE,0.197,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00041-T,Kaggle- rice       -41,TEMPERATURE,22.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00045-T,Kaggle- rice       -45,TEMPERATURE,26.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00042-T,Kaggle- rice       -42,TEMPERATURE,25.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00045-P,Kaggle- rice       -45,PH,7.22,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00043-P,Kaggle- rice       -43,PH,6.9,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00046-M,Kaggle- rice       -46,MOISTURE,0.147,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00042-P,Kaggle- rice       -42,PH,5.53,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00045-M,Kaggle- rice       -45,MOISTURE,0.109,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00047-P,Kaggle- rice       -47,PH,5.21,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00044-T,Kaggle- rice       -44,TEMPERATURE,23.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00044-M,Kaggle- rice       -44,MOISTURE,0.227,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00046-P,Kaggle- rice       -46,PH,6.13,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00043-T,Kaggle- rice       -43,TEMPERATURE,25.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00046-T,Kaggle- rice       -46,TEMPERATURE,24.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00044-P,Kaggle- rice       -44,PH,6.27,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00047-T,Kaggle- rice       -47,TEMPERATURE,25.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00047-M,Kaggle- rice       -47,MOISTURE,0.157,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00049-M,Kaggle- rice       -49,MOISTURE,0.164,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00048-T,Kaggle- rice       -48,TEMPERATURE,23.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00048-P,Kaggle- rice       -48,PH,7.78,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00051-P,Kaggle- rice       -51,PH,5.29,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00050-P,Kaggle- rice       -50,PH,7.73,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00052-M,Kaggle- rice       -52,MOISTURE,0.109,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00050-M,Kaggle- rice       -50,MOISTURE,0.148,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00049-P,Kaggle- rice       -49,PH,7.06,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00049-T,Kaggle- rice       -49,TEMPERATURE,21.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00051-T,Kaggle- rice       -51,TEMPERATURE,23.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00048-M,Kaggle- rice       -48,MOISTURE,0.208,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00050-T,Kaggle- rice       -50,TEMPERATURE,24.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00053-M,Kaggle- rice       -53,MOISTURE,0.291,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00051-M,Kaggle- rice       -51,MOISTURE,0.248,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00052-P,Kaggle- rice       -52,PH,6.77,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00052-T,Kaggle- rice       -52,TEMPERATURE,20.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00053-P,Kaggle- rice       -53,PH,7.38,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00053-T,Kaggle- rice       -53,TEMPERATURE,23.9,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00054-P,Kaggle- rice       -54,PH,5.66,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00054-T,Kaggle- rice       -54,TEMPERATURE,22.0,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00054-M,Kaggle- rice       -54,MOISTURE,0.213,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00055-T,Kaggle- rice       -55,TEMPERATURE,26.2,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00055-M,Kaggle- rice       -55,MOISTURE,0.164,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00056-T,Kaggle- rice       -56,TEMPERATURE,23.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00056-M,Kaggle- rice       -56,MOISTURE,0.131,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00057-M,Kaggle- rice       -57,MOISTURE,0.22,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00055-P,Kaggle- rice       -55,PH,5.54,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00056-P,Kaggle- rice       -56,PH,6.22,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00057-T,Kaggle- rice       -57,TEMPERATURE,25.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00057-P,Kaggle- rice       -57,PH,7.12,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00058-M,Kaggle- rice       -58,MOISTURE,0.232,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00061-P,Kaggle- rice       -61,PH,7.59,pH,ALERT,HIGHLY ALKALINE — soil amendment required,2026-05-20
KAGGLE-00058-P,Kaggle- rice       -58,PH,5.95,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00058-T,Kaggle- rice       -58,TEMPERATURE,24.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00060-M,Kaggle- rice       -60,MOISTURE,0.135,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00059-P,Kaggle- rice       -59,PH,7.24,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00060-P,Kaggle- rice       -60,PH,6.5,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00059-M,Kaggle- rice       -59,MOISTURE,0.145,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00059-T,Kaggle- rice       -59,TEMPERATURE,20.3,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00060-T,Kaggle- rice       -60,TEMPERATURE,21.7,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00061-T,Kaggle- rice       -61,TEMPERATURE,20.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00061-M,Kaggle- rice       -61,MOISTURE,0.146,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00065-P,Kaggle- rice       -65,PH,5.74,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00063-M,Kaggle- rice       -63,MOISTURE,0.196,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00062-P,Kaggle- rice       -62,PH,5.88,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00062-T,Kaggle- rice       -62,TEMPERATURE,25.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00062-M,Kaggle- rice       -62,MOISTURE,0.147,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00064-M,Kaggle- rice       -64,MOISTURE,0.138,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00063-P,Kaggle- rice       -63,PH,6.93,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00063-T,Kaggle- rice       -63,TEMPERATURE,20.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00064-P,Kaggle- rice       -64,PH,6.95,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00065-M,Kaggle- rice       -65,MOISTURE,0.128,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00064-T,Kaggle- rice       -64,TEMPERATURE,21.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00065-T,Kaggle- rice       -65,TEMPERATURE,20.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00066-P,Kaggle- rice       -66,PH,6.74,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00066-T,Kaggle- rice       -66,TEMPERATURE,24.5,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00066-M,Kaggle- rice       -66,MOISTURE,0.17,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00067-P,Kaggle- rice       -67,PH,5.59,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
KAGGLE-00067-T,Kaggle- rice       -67,TEMPERATURE,21.1,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00070-T,Kaggle- rice       -70,TEMPERATURE,23.4,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00068-P,Kaggle- rice       -68,PH,6.95,pH,WARNING,ALKALINE — nutrient availability reduced,2026-05-20
KAGGLE-00068-T,Kaggle- rice       -68,TEMPERATURE,25.8,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00068-M,Kaggle- rice       -68,MOISTURE,0.103,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00069-M,Kaggle- rice       -69,MOISTURE,0.189,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00067-M,Kaggle- rice       -67,MOISTURE,0.154,VWC,ALERT,CRITICAL DRY — irrigate immediately,2026-05-20
KAGGLE-00069-P,Kaggle- rice       -69,PH,5.01,pH,WARNING,ACIDIC — consider lime treatment,2026-05-20
KAGGLE-00070-M,Kaggle- rice       -70,MOISTURE,0.234,VWC,WARNING,DRY — schedule irrigation within 24hrs,2026-05-20
KAGGLE-00069-T,Kaggle- rice       -69,TEMPERATURE,23.6,C,NORMAL,OPTIMAL — ideal temperature,2026-05-20
KAGGLE-00070-P,Kaggle- rice       -70,PH,6.36,pH,NORMAL,OPTIMAL — ideal for crops,2026-05-20
